name,status,description,start_date,end_date,requirements,funding,contact,url
Investissements Interrégionaux en matière d'Innovation (3I),open,"L'appel à projets Investissements interrégionaux en matière d'innovation (I3) vise à soutenir des innovations sur le marché à des niveaux de préparation technologique élevés (TRL 6-9). Seront financées des activités de commercialisation permettant de mettre sur le marché des idées et des produits innovants, bancs d'essai et activités de post-prototypage, validation et essais en environnement réel dans les entreprises (démonstration, activités d'innovation développées avec les utilisateurs finaux). Ce dispositif est divisé en 2 volets principaux : Volet 1 : Soutien financier/Investissements dans des projets d'innovation interrégionaux matures/chaînes de valeur déjà existantes Volet 2 : Soutien financier pour développer des chaînes de valeur dans des régions moins développées.",17 May 2023,17 October 2023,"- The project must support innovations with high technological readiness levels (TRL 6-9).
- The activities funded should focus on commercialization, bringing innovative ideas and products to the market, as well as testing and validation in real-life environments.
- The project is divided into two main components: supporting mature interregional innovation projects/value chains, and supporting the development of value chains in less developed regions.
- The projects must choose one of the three thematic areas: green transition, smart manufacturing, or digital transition.
- The funding is provided by the European Regional Development Fund (FEDER), with a total budget of 78 million euros for the year 2023.
- The maximum grant amount per selected project ranges from 2 to 10 million euros.
- The deadline for project applications is from May 17, 2023, to October 17, 2023.",3782023,NA,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/candidater-investissements-interregionaux-en-matiere-d-innovation-3i
Lutter contre l'érosion de la biodiversité et la dégradation des écosystèmes dans le Massif des Alpes,open,"Ce projet vise à lutter contre l'érosion de la biodiversité et la dégradation des écosystèmes dans le Massif des Alpes. Il soutient des projets dans les domaines de la biodiversité et de la protection des écosystèmes, en favorisant le partage de connaissances, la mutualisation de moyens et la réalisation d'actions concrètes dans la restauration et la préservation des espèces et des milieux.",21 July 2022,12 July 2024,"- Support projects in the fields of biodiversity and ecosystem protection
- Share knowledge and resources
- Undertake concrete actions in the restoration and preservation of species and habitats
- Only the departments of Drôme, Isère, Savoie, and Haute-Savoie in the Auvergne-Rhône-Alpes region are eligible
- Applications can be submitted from July 21, 2022, to July 12, 2024.",NA,"Contact information: 

Région Sud - Provence-Alpes-Côte d’Azur 
101 cours Charlemagne 
CS 20033 
69269 LYON CEDEX 02 
France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/lutter-contre-l-erosion-de-la-biodiversite-et-la-degradation-des-ecosystemes-dans
Interreg SUDOE,open,"L'action d'appui à l'émergence de projets transnationaux dans le cadre du programme Interreg SUDOE vise à fournir une expertise technique et à faciliter la mise en réseau entre régions. L'objectif est de structurer des partenariats entre les régions concernées par le deuxième appel à projets. Ce programme a 4 priorités et 9 objectifs spécifiques, notamment la préservation du capital naturel, la promotion de la cohésion sociale et territoriale, et le renforcement des capacités d'impact. Le montant total du soutien prévu pour cet appel à projets est de 98 millions d'euros. Les candidats éligibles doivent inclure au moins un chef de file et un partenaire français provenant de deux des trois régions éligibles du programme. Les candidatures peuvent être déposées jusqu'au 15 septembre 2023.",08 June 2023,15 September 2023,"- Chaque proposition doit intégrer a minima un chef de file et un partenaire français émanant de 2 des 3 régions éligibles du programme.
- La proposition doit être portée par des structures publiques ou privées à but non lucratif situées dans une région française de l’espace de coopération Sud-ouest européen.
- Les entreprises peuvent s’associer à un projet dans le cadre de cette action mais ne peuvent pas soumettre de proposition.
- Les territoires éligibles sont : Auvergne, Nouvelle Aquitaine, Occitanie, Espagne métropolitaine (y compris l’archipel des Baléares), Portugal métropolitain, Principauté d’Andorre.
- Les propositions doivent être envoyées au format numérique, aux correspondants régionaux.
- Il y a un montant global du soutien prévu de l'appel à projets qui s'élève à 98 millions d’euros.
- Les préfectures de région et les conseils régionaux des régions concernées s'engagent dans une action d’appui à l’émergence de projets transnationaux.
- L'action d'appui consiste en l’apport d’une expertise technique ciblée et la mise en réseau et l’échange entre pairs pour structurer des partenariats entre régions.
- Il y aura un accompagnement personnalisé et des ateliers thématiques collectifs à l’automne 2023.
- Le programme Interreg SUDOE a sélectionné 4 priorités déclinées en 9 objectifs spécifiques.",98,"Contact : Sylvain GUÉTAZ - Chargé de mission Coopérations européennes
Direction des relations internationales
04 26 73 54 83
sylvain.guetaz@auvergnerhonealpes.fr",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/faciliter-l-emergence-de-projets-transnationaux-interreg-sudoe
Initiative urbaine européenne,open,"Cet appel à propositions financera des projets innovants dans les villes européennes qui se concentrent sur les villes vertes, le tourisme durable et les talents dans les villes en décroissance. L'objectif est que les villes expérimentent et proposent de nouvelles solutions en matière d'infrastructures vertes, de transformation verte et numérique, de résilience de l'écosystème touristique et d'attraction des talents.",31 May 2023,05 October 2023,"- The project must focus on innovative solutions in European cities.
- The project should prioritize the following themes: Green Cities, Sustainable Tourism, and Talent in shrinking cities.
- The project should propose new solutions in green and digital infrastructure, green transformation, resilience of the tourism ecosystem, and attracting talent.
- Each project may receive up to 5 million euros in FEDER co-financing.
- The implementation of the project must be completed within a maximum of 42 months.
- Eligible applicants are urban authorities or groups of urban authorities with a minimum population of 50,000 inhabitants.
- The deadline for submitting applications is October 5, 2023, at 14:00.
- There will be several online sessions for questions and answers, as well as individual meetings for potential candidates.
- The project should align with the goals of the European Urban Initiative.
- Previous urban solutions funded by the European Urban Initiative can be viewed in the project gallery.",5,"Contactez la Région
101 cours Charlemagne
CS 20033
69269 LYON CEDEX 02
France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/proposer-des-actions-innovantes-pour-l-initiative-urbaine-europeenne
Renforcer l’attractivité touristique du Massif central,NA,"Le projet vise à renforcer l'attractivité touristique du Massif central en encourageant le développement local social, économique et environnemental, ainsi que la culture, le patrimoine naturel, le tourisme durable et la sécurité. Les candidats éligibles comprennent les collectivités territoriales, les associations, les établissements publics, les PME, les syndicats professionnels, les syndicats mixtes, les parcs naturels régionaux et les organismes de tourisme.",NA,NA,"- Encourager le développement local social, économique et environnemental intégré et inclusif
- Promouvoir la culture, le patrimoine naturel et le tourisme durable dans les zones non urbaines
- Candidats éligibles : collectivités territoriales, associations, établissements publics, PME, syndicats professionnels, syndicats mixtes, parcs naturels régionaux, offices de tourisme, agences départementales du tourisme, comités départementaux du tourisme, Auvergne-Rhône-Alpes Tourisme, Comité Régional du Tourisme et des Loisirs Occitanie, Comité Régional du Tourisme Bourgogne Franche-Comté, Comité Régional du Tourisme Nouvelle Aquitaine
- Territoires éligibles : Massif central
- Date de dépôt des candidatures : ouvert
- Procédure de demande d'aide : contacter l'autorité de gestion avant le dépôt du dossier",NA,"Contact:
Région Auvergne-Rhône-Alpes | Direction des Fonds Européens
101 cours Charlemagne
CS 20033
69269 LYON CEDEX 02
France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/renforcer-l-attractivite-touristique-du-massif-central-domota7525
Accompagner et appuyer le développement des structures de santé pour améliorer l’accès aux soins (DOMO_TA_9.4.11.3),NA,Le FSE+ vise à renforcer l’accès aux soins pour tous en favorisant un meilleur maillage territorial de l’offre de soins.,NA,NA,"- Renforcer l'accès aux soins pour tous
- Favoriser un meilleur maillage territorial de l'offre de soins
- Être un établissement de santé, un établissement scolaire ou d'enseignement supérieur, une structure sanitaire de santé, une collectivité territoriale ou son groupement, une communauté professionnelle des territoires de santé (CPTS), une association, une maison ou un pôle de santé, un centre de santé, un service départemental d'incendie et de secours (SDIS), un groupement d'intérêt public ou une autre structure contribuant à un meilleur maillage de l'offre de soins, ou un acteur du secteur social et médico-social
- Être situé en Région Auvergne-Rhône-Alpes
- Contacter l'autorité de gestion avant tout dépôt de dossier pour vérifier l'éligibilité du projet et être accompagné
- Déposer la demande sur le portail e-synergie",NA,"Contact: Région Auvergne-Rhône-Alpes | Direction des Fonds Européens
101 cours Charlemagne
CS 20033
69269 LYON CEDEX 02
France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/accompagner-et-appuyer-le-developpement-des-structures-de-sante-pour-ameliorer-l
"Sensibiliser, informer et prévenir les publics sur l’éducation à la santé (DOMO_TA_9.4.11.2)",NA,"Le projet vise à soutenir les actions en faveur de l'amélioration de la santé pour tous grâce à différentes actions de prévention, d'éducation et d'accompagnement.",NA,NA,"- The project must aim to improve health through prevention, education, and support.
- Eligible candidates include schools, higher education institutions, training institutions (including those in the healthcare sector), healthcare facilities, employment and guidance actors, local authorities and their associations, prevention centers, and actors in the social and healthcare sector.
- The project must be located in the Auvergne-Rhône-Alpes region.
- Interested parties must contact the managing authority before submitting their application to verify the eligibility of their project and receive support.
- Applications must be submitted through the e-synergie portal.
- The project must comply with the guidelines outlined in the Document de Mise en Œuvre (DOMO).
- Contact information for the regional authority and relevant resources can be found on the website.
- The project must meet the requirements set by the European funding program FSE+.
- The application deadline is open.
- The project must align with the thematic areas of health, healthcare accessibility, and information, awareness, and education about health.",NA,"Contact:
Région Auvergne-Rhône-Alpes
Direction des Fonds Européens
Email: NA
Phone: NA
Address: 101 cours Charlemagne, CS 20033, 69269 LYON CEDEX 02, France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/sensibiliser-informer-et-prevenir-les-publics-sur-l-education-la-sante
Soutenir les mesures d’efficacité énergétique dans la rénovation et la construction des bâtiments (DOMO_TA_2.2.1.2),NA,La description du projet est de soutenir les mesures d'efficacité énergétique dans la rénovation et la construction des bâtiments dans le cadre du programme régional FEDER/FSE+/FTJ 2021-2027.,NA,NA,"- Réduire de 30 % les consommations énergétiques par habitant par rapport à 2015
- Soutenir la rénovation thermique des bâtiments du secteur résidentiel social et privé
- Soutenir les mesures d'efficacité énergétique dans la rénovation et la construction des bâtiments tertiaires
- Collectivités territoriales (hors métropoles), leurs groupements, leurs opérateurs et leurs mandataires (y compris Grandes Entreprises), Associations loi 1901 propriétaires de bâtiment d'enseignement sous contrat avec l'Etat, Etablissement public à caractère scientifique et culturel (université), Services Départementaux d'Incendie et de Secours (SDIS), Etablissements publics de santé sont éligibles
- Contactez l'autorité de gestion avant tout dépôt de dossier pour vérifier l'éligibilité de votre projet et être accompagné
- Déposez votre demande sur le portail e-synergie
- Téléchargez le Document de Mise en Œuvre (DOMO) correspondant
- Région Auvergne-Rhône-Alpes | Direction des Fonds Européens | Contactez la Région",NA,NA,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/soutenir-les-mesures-d-efficacite-energetique-dans-la-renovation-et-la
Réduire et valoriser les déchets (DOMO_TA_2.2.6.1),NA,L’objectif spécifique 2.6 du FEDER est de contribuer à la stratégie économie circulaire de la région Auvergne-Rhône-Alpes. Il vise le volet déchets via la réduction et la valorisation de ceux-ci.,NA,NA,"- The objective of the project is to contribute to the circular economy strategy of the Auvergne-Rhône-Alpes region through waste reduction and valorization.
- Eligible candidates include SMEs, large companies with a mandate from a local authority, and territorial communities, their associations, and operators.
- The project must be submitted through the e-synergie portal.
- Before submitting the project, contact the managing authority to verify the eligibility and receive support.
- The project should focus on environmental and climate issues, specifically on waste recycling and valorization.",NA,"Contactez la Région Auvergne-Rhône-Alpes | Adresse : 101 cours Charlemagne, CS 20033, 69269 LYON CEDEX 02, France.",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/reduire-et-valoriser-les-dechets-domota2261
Appuyer les projets expérimentaux dans le domaine énergétique (DOMO_TA_2.2.2.2),NA,"The project aims to support experimental projects in the energy sector, specifically in the production, storage, and distribution of renewable energies such as methanization, solar thermal, and hydrogen. The goal is to achieve a 54% increase in renewable energy production by 2030. The project is eligible for various entities including public organizations, territorial communities, associations, and small and medium-sized enterprises. The application process involves contacting the managing authority to verify project eligibility and receive assistance, followed by submitting the application through the e-synergie portal. The project falls under the Regional FEDER/FSE+/FTJ 2021-2027 program and is managed by the Auvergne-Rhône-Alpes region.",NA,NA,"- The project should support experimental projects in the energy sector
- The project should contribute to the production, storage, and distribution of renewable energies
- Eligible candidates include public organizations, territorial collectives, public establishments, mobility organizers, associations, mixed economy companies, and small and medium-sized enterprises
- The project should be submitted through the e-synergie portal
- Contact the regional authority for eligibility verification and support before submitting the application",NA,Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens.,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/appuyer-les-projets-experimentaux-dans-le-domaine-energetique-domota2222
