name,status,description,start_date,end_date,requirements,funding,contact,url
Accompagner des projets innovants d’entreprises et de créateurs,NA,"Le projet vise à accompagner des projets innovants d'entreprises et de créateurs dans le but de soutenir la relance économique et encourager la transformation vers une économie intelligente et innovante. Le dispositif détaille les bénéficiaires potentiels et les actions à mettre en place. Pour plus d'informations, vous pouvez nous contacter.",NA,NA,"- Accompagner des projets innovants d'entreprises et de créateurs
- Soutenir la relance économique et encourager la transformation vers une économie intelligente et innovante
- Bénéficiaires potentiels : entreprises et créateurs
- Détail du dispositif : non précisé
- Contact : non spécifié",NA,NA,https://www.europe-en-occitanie.eu/Accompagner-des-projets-innovants-d-entreprises-et-de-createurs
Accompagner la construction et/ou la rénovation énergétique de bâtiments publics innovants et exemplaires,NA,"Le projet consiste à accompagner la construction et/ou la rénovation énergétique de bâtiments publics innovants et exemplaires dans le but d'agir face à l'urgence climatique et pour une économie décarbonée. Les bénéficiaires potentiels sont les acteurs publics régionaux et locaux de la région Occitanie. Le dispositif permet de financer les travaux de rénovation énergétique des bâtiments publics, ainsi que les actions visant à améliorer l'efficacité énergétique et à intégrer des solutions innovantes. Pour plus d'informations, veuillez contacter l'organisme responsable du programme.",NA,NA,"- Construction et/ou rénovation énergétique de bâtiments publics innovants et exemplaires
- Agir face à l'urgence climatique et pour une économie décarbonée
- Bénéficiaires potentiels
- Contact",NA,NA,https://www.europe-en-occitanie.eu/Accompagner-la-construction-et-ou-la-renovation-energetique-de-batiments-publics
Connaissance des milieux,NA,"Le projet vise à améliorer la connaissance sur les milieux et leur fonctionnement afin de favoriser les solutions fondées sur la nature pour faire face à l'urgence climatique et promouvoir une économie décarbonée. Les bénéficiaires potentiels de ce projet sont ceux qui souhaitent développer des actions visant à mieux comprendre les écosystèmes et à mettre en place des solutions basées sur la nature. Pour plus d'informations et pour contacter l'organisme responsable de ce projet, vous pouvez consulter leur site web.",NA,NA,"- Améliorer la connaissance sur les milieux et leur fonctionnement pour massifier les solutions fondées sur la nature (SfN)
- Agir face à l'urgence climatique et pour une économie décarbonée",NA,NA,https://www.europe-en-occitanie.eu/Ameliorer-la-connaissance-sur-les-milieux-et-leur-fonctionnement-pour-massifier-les
Améliorer le cadre de vie des habitants en zone défavorisée.,NA,"Le projet vise à améliorer le cadre de vie des habitants en zone défavorisée en promouvant le rééquilibrage territorial, réduisant les disparités et valorisant les ressources. Les bénéficiaires potentiels du projet ne sont pas mentionnés dans le texte. Pour plus de détails sur le dispositif, veuillez contacter les personnes responsables.",NA,NA,"- Améliorer le cadre de vie des habitants en zone défavorisée
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,NA,https://www.europe-en-occitanie.eu/Ameliorer-le-cadre-de-vie-des-habitants-en-zone-defavorisee-44880
Améliorer le cadre de vie des habitants en zone rurale,NA,"Le projet consiste à améliorer le cadre de vie des habitants en zone rurale en promouvant le rééquilibrage territorial, réduisant les disparités et valorisant les ressources. Les bénéficiaires potentiels sont les habitants des zones rurales.",NA,NA,"- Améliorer le cadre de vie des habitants en zone rurale
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources
- Bénéficiaires potentiels",NA,Contact information not given.,https://www.europe-en-occitanie.eu/Ameliorer-le-cadre-de-vie-des-habitants-en-zone-rurale
Atténuer la vulnérabilité en milieu littoral / Préparer la recomposition spatiale et développer un outil d’aide à la décision,NA,"Le projet vise à atténuer la vulnérabilité en milieu littoral, préparer la recomposition spatiale et développer un outil d’aide à la décision pour agir face à l’urgence climatique et pour une économie décarbonée. Les bénéficiaires potentiels, le détail du dispositif et les contacts ne sont pas mentionnés dans le texte.",NA,NA,"- Atténuer la vulnérabilité en milieu littoral
- Préparer la recomposition spatiale
- Développer un outil d'aide à la décision
- Agir face à l'urgence climatique et pour une économie décarbonée",NA,NA,https://www.europe-en-occitanie.eu/Attenuer-la-vulnerabilite-en-milieu-littoral-Preparer-la-recomposition-spatiale-et
Atténuer la vulnérabilité en milieu littoral / Travaux d’atténuation des vulnérabilités.,NA,"Le dispositif ""Atténuer la vulnérabilité en milieu littoral / Travaux d’atténuation des vulnérabilités"" vise à agir face à l'urgence climatique et pour une économie décarbonée. Il s'adresse aux bénéficiaires potentiels qui souhaitent entreprendre des travaux de réduction des vulnérabilités en milieu littoral. Pour plus de détails sur ce dispositif, nous vous invitons à consulter le document ""Action 4 - Travaux littoraux"" téléchargeable sur notre site. Pour toute question ou demande d'informations supplémentaires, veuillez nous contacter.",NA,NA,"- Atténuer la vulnérabilité en milieu littoral / Travaux d'atténuation des vulnérabilités
- Agir face à l'urgence climatique et pour une économie décarbonée
- Bénéficiaires potentiels: non spécifiés
- Détail du dispositif: non spécifié
- Contact: non spécifié",NA,NA,https://www.europe-en-occitanie.eu/Attenuer-la-vulnerabilite-en-milieu-littoral-Travaux-d-attenuation-des
Développer l’hébergement à destination des populations fragiles et marginalisées dans les zones rurales,NA,"Le projet vise à développer l'hébergement dans les zones rurales afin d'accueillir les populations fragiles et marginalisées. L'objectif est de réduire les disparités territoriales et de valoriser les ressources disponibles. Le dispositif s'adresse à différents bénéficiaires potentiels. Pour plus d'informations, veuillez contacter l'organisme en charge du projet.",NA,NA,"- Développer l'hébergement à destination des populations fragiles et marginalisées dans les zones rurales
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,NA,https://www.europe-en-occitanie.eu/Developper-l-hebergement-a-destination-des-populations-fragiles-et-marginalisees
Développer l’hébergement à destination des populations fragiles et marginalisées dans les zones urbaines.,NA,"L'objectif du projet est de développer l'hébergement à destination des populations fragiles et marginalisées dans les zones urbaines, afin de promouvoir le rééquilibrage territorial et de réduire les disparités. Les bénéficiaires potentiels de ce projet sont les personnes marginalisées et vulnérables qui ont besoin d'un logement adapté. Les détails du dispositif ainsi que les contacts peuvent être trouvés dans les téléchargements disponibles sur le site.",NA,NA,"- Développer l'hébergement à destination des populations fragiles et marginalisées dans les zones urbaines
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,NA,https://www.europe-en-occitanie.eu/Developper-l-hebergement-a-destination-des-populations-fragiles-et-marginalisees-44877
"Développer les équipements culturels, touristiques et de loisir pour tous en zone rurale.",NA,"Le projet vise à développer les équipements culturels, touristiques et de loisir pour tous en zone rurale. Il s'adresse aux bénéficiaires potentiels qui souhaitent mettre en place des infrastructures dans ces domaines. Contactez-nous pour plus d'informations.",NA,NA,"- Développer les équipements culturels, touristiques et de loisir en zone rurale
- Cibler les bénéficiaires potentiels
- Mettre en place des dispositifs de financement
- Promouvoir l'accès pour tous à ces équipements
- Favoriser le développement économique local
- Valoriser le patrimoine naturel et culturel de la région
- Encourager l'innovation et l'entrepreneuriat dans ces domaines
- Renforcer la coopération territoriale en matière de projets culturels et touristiques
- Contribuer à l'attractivité de la région Occitanie.",NA,NA,https://www.europe-en-occitanie.eu/Developper-les-equipements-culturels-touristiques-et-de-loisir-pour-tous-en-zone
